P_a,CCO,t,SaO2sup,Vmca,Pa_CO2,ii
101.173839,-0.8332554522340676,857.6,0.9880619518,62.34668833499906,41.961039405881,611
101.9511347,-0.8425735430060596,860.8,0.9887977159,61.31853092396545,41.9499077701938,611
100.8783424,-0.8600989409402352,864.0,0.9893978649,59.79550259012699,42.1700553045078,611
99.71847648,-0.8588069152664479,867.2,0.9894334092,59.94095240710601,42.5182945956369,611
99.07611585,-0.8461994092509022,870.4,0.9891731675,61.04159151491295,42.7500058986854,611
97.65483387,-0.8432533288129467,873.6,0.9891970819,61.29619967339144,42.7948743945633,611
94.90290216,-0.8474573081882388,876.8,0.9896689055,60.84793177849001,42.7783765324509,611
91.98647751,-0.8441798164828226,880.0,0.9901495146,60.98332298196504,42.7530414733915,611
89.72692722,-0.8359552560532071,883.2,0.990145452,61.64550772228384,42.6044407495109,611
87.71705686,-0.8352517905473098,886.4,0.9896822912,61.82984623340188,42.2535658315754,611
85.77443447,-0.840955825585852,889.6,0.9892146555,61.48430643089843,41.8030562877056,611
84.38514019,-0.8429583047457778,892.8,0.9890334215,61.35385505587604,41.4385184183572,611
83.60091454,-0.8405032245970985,896.0,0.988965067,61.56059525108376,41.2618027117409,611
82.99828891,-0.8391383420456939,899.2,0.9887349537,61.74197120707457,41.2360639469727,611
82.57794144,-0.837928481973463,902.4,0.9883655717,61.9600632627673,41.2543293744849,611
82.5208929,-0.8348043435862057,905.6,0.9880025466,62.3369131096627,41.2527447041301,611
